3991582532,周仔權LIFE,男,,,4532010875631915,周瑜气冒火 鲁肃寻结果 诸葛亮找自我 归根结底谁的错 两个字 迷惑 周瑜迷伤了眼睛 浩瀚的宇宙 迷茫的人生 数额数不完 看也看不清 假如我是一颗落叶松 永远不要秋天的微风 冬天的寒冷
3205510741,青山之人,男,北京,199,4491463524417754,从QQ音乐的专辑图上裁下来，简单修改下，也可以作壁纸和头像了，哈哈
5857888700,LostinTokyo-,女,,200,4491463087605135,周杰伦实力那么强长得好看还得了？  啊不好意思周杰伦就是这么不得了🤗  love u，My King
5578838187,青楼歌妓,男,黑龙江,,4491462890266466,##    他说，感谢你们陪伴了我20年， 我们下一个 20年 还在一起。  好的         小伍大人_的微博视频
2819070071,浅笑安然0830,女,广西,,4491462806445685,留下你最爱的一句歌词吧
7241764587,一见杰伦误终生,男,,,4491462777782215,又是被杰伦帅晕的一天
5914285274,i冷心人i,男,河南,,4491461971920187,后知后觉又过了一个秋
6818083398,丸丸要努力一零零八六,女,河南,199,4491461711901143,一首适合静静的夜里，只有自己，才舍得欣赏的歌！
3090967217,阿宇的扑棱蛾子_4l4,男,北京,199,4491461380288666,还有六天喔   #周杰伦济南演唱会#
3732491132,用户3732491132,男,河南,199,4491461024241485,#周杰伦上海演唱会#   开心到模糊！老年人我全程尖叫上头，仿佛年轻了十几岁   我居然能跟周杰伦呼吸同一场馆的空气，哈哈哈哈哈哈哈我人间值了
7431713401,看起来会像泊车小弟,男,湖北,,4491460851972437,枫🍁      看起来会像泊车小弟的微博视频
5267032036,放肆的时代2,男,河北,198,4491459929342617,#音乐#   以前不太爱听周杰伦的歌，现在不知道为什么特别爱听他的歌。      网页链接
2495207371,慌伴lc刘超,男,陕西,200,4491459732314569,大家快去QQ音乐排行榜中的由你音乐中投票啊啊啊，已经被林俊杰超了，最后一天了，我们都已经4连冠了!!!
2321789347,sunsong1991_749,男,陕西,199,4491459476269606,【榜上有名-华语TOP10】恭喜  #薛之谦#   第十张专辑同名主打曲《尘》拿下本周华语人气冠单！  #许嵩#   献唱《新天龙八部》端游主题曲《雨幕》空降亚军，宝石Gem《野狼disco》、  #周杰伦#   《说好不哭》保持华语TOP5，  #林俊杰#   《Wonderland》、     李宇春超话  《野望》、  #郁可唯#   《我的城》等实力新歌上榜前十. ... 全文
2579503571,孤鱼淋雨楠,男,贵州,,4491458821937688,有人杭州场11.16 18区上或6区上可以换票吗 有偿
7313377107,头像皇后,女,四川,199,4491458273110708,#周杰伦#    #周杰伦演唱会#    《珊瑚海》周杰伦与梁心颐清新组合， 深情男女对唱K歌新指标。曲风优美，大气。前几节乐感很纯洁，纯粹的东西很容易使人感动。竟累积成伤害转身离开， 分手说不出来。蔚蓝的珊瑚海，错过瞬间苍白。  互捞留链接
5767477992,llllllllllooo,男,天津,,4491458230771348,周董今年会来日本开演唱会吗？  #周杰伦#    #周杰伦嘉年华世界巡回演唱会#    ##
7205095330,__洛无极,女,黑龙江,198,4491458218373601,周杰伦演唱会  #音乐#    『说好的幸福呢＋淘汰＋青花瓷』（live），现场临时改编串烧歌曲，可以说非常精彩，当镜头切换到陈奕迅时，一脸迷弟的也是模样超级可爱，喜欢看他们的互动，暖心         夏洛克上的微博视频
6989291534,晚风柒妄,女,台湾,,4491458104859674,#周杰伦#        #周杰伦考古#    冷知识：《最后的战役》泰国军/方/出动的是真正的飞机、坦克协助拍摄，那种烽火连天的场面都是真刀真枪的产物。更冷门的是这已经是2002年的歌曲了         晚风吹夜曲的微博视频
2393849233,李秉鸿,男,天津,198,4491458067439309,plangun超话     枫叶下的美少年~~~        枫-周杰伦    cr:logo
6507094609,荣耀的背后刻着一道孤独0118,男,,,4491458058756770,zjl#周杰伦实绩# [音乐]#周游记#  一次颁奖典礼得5个奖的不止著名的夜曲那次 还有好多次  哥就是这么屌     【全球华语歌曲排行榜】 2004    第4届    全球华语歌曲排行榜年度最受欢迎男歌手 2004    第4届    全球华语歌曲排行榜年度最佳专辑    叶惠美 2004    第4届    全球华语歌 ... 全文
5688405144,迷妹吐槽哈哈哈专用号,女,北京,199,4491457765659961,为什么我的视频都挂了   是因为版权吗……cut都不行？
5508396408,老特zz,女,山东,199,4491457190236783,一辈子只有一个你
3620199002,金華308027,女,,200,4491457169417256,下午好 互捞哦   留🔗没吞必回
